query,attempt,n,mean,sample_sd,min,max,spread,gc_affected_legs
21,3,20,0.13949999999999999,0.03173989685918306,0.112,0.205,0.09299999999999999,1
21,4,20,0.1272,0.0175757009293483,0.108,0.164,0.05600000000000001,6
21,5,20,0.12185,0.014921813774330165,0.108,0.166,0.05800000000000001,3
21,6,20,0.1184,0.011708746168659788,0.103,0.148,0.045,6
21,7,20,0.1206,0.01337082448349469,0.097,0.147,0.04999999999999999,5
21,8,20,0.1173,0.011567194992737001,0.098,0.143,0.044999999999999984,2
21,9,20,0.11965,0.011235634102453257,0.1,0.14,0.04000000000000001,4
21,10,20,0.12025,0.012640265653437578,0.098,0.145,0.046999999999999986,5
21,11,20,0.1217,0.01129089059934228,0.102,0.139,0.03700000000000002,5
21,12,20,0.11855,0.011971347371734598,0.1,0.143,0.04299999999999998,6
21,13,20,0.11835,0.008171033562144034,0.106,0.136,0.030000000000000013,6
21,14,20,0.1202,0.011409137612134912,0.101,0.145,0.043999999999999984,7
21,15,20,0.1197,0.010598411003045394,0.102,0.151,0.049,8
21,16,20,0.1116,0.0077690343503450995,0.098,0.126,0.027999999999999997,1
21,17,20,0.11125,0.00699529917346755,0.1,0.126,0.025999999999999995,4
21,18,20,0.11215,0.005412218146301745,0.098,0.12,0.021999999999999992,0
21,19,20,0.11410000000000001,0.006214583866324354,0.102,0.124,0.022000000000000006,1
21,20,20,0.1121,0.008181493879803565,0.095,0.135,0.04000000000000001,4
21,21,20,0.11425,0.00781277631090322,0.098,0.132,0.034,3
21,22,20,0.11395,0.011057148199955966,0.096,0.151,0.05499999999999999,3
21,23,20,0.11285,0.006815423684555496,0.098,0.128,0.03,2
21,24,20,0.11345,0.006468343967679094,0.096,0.125,0.028999999999999998,2
21,25,20,0.11355,0.0055864026651184125,0.104,0.122,0.018000000000000002,1
21,26,20,0.11185,0.005705721966403092,0.102,0.123,0.021000000000000005,2
21,27,20,0.1127,0.007547045430951249,0.094,0.125,0.031,3
21,28,20,0.11410000000000001,0.008825203143628809,0.093,0.134,0.04100000000000001,3
21,29,20,0.1126,0.005959512519802624,0.101,0.124,0.022999999999999993,1
21,30,20,0.11175,0.004908370937812047,0.103,0.121,0.018000000000000002,1
21,31,20,0.11265,0.00776818748757426,0.096,0.132,0.036000000000000004,1
21,32,20,0.1151,0.006273587070954071,0.101,0.123,0.021999999999999992,4
21,33,20,0.1147,0.008013803880279263,0.101,0.135,0.034,3
42,1,20,0.5165500000000001,0.03865158129808023,0.418,0.566,0.14799999999999996,10
42,2,20,0.164,0.04456219781029893,0.062,0.257,0.195,1
42,3,20,0.0979,0.05453622649212173,0.04,0.178,0.13799999999999998,2
42,4,20,0.06625,0.0278187271266564,0.042,0.136,0.094,1
42,5,20,0.0534,0.008665721945810705,0.042,0.07,0.028000000000000004,0
42,6,20,0.050499999999999996,0.007950504783709615,0.039,0.064,0.025,0
42,7,20,0.04735,0.006838551708781926,0.039,0.062,0.023,0
42,8,20,0.0456,0.00620186729096462,0.039,0.063,0.024,0
