query,n,mean_hot_s,sample_sd_hot_s,min_hot_s,max_hot_s,mean_ln,sample_sd_ln,min_ln,max_ln,ln_range,dip_p,dip_p_holm_45,cov_with_suite_ln,variance_share
0,20,0.0010500000000000002,0.00022360679774997898,0.001,0.002,0.09966074865380624,0.019456335376467335,0.09531017980432474,0.1823215567939546,0.08701137698962985,1.0,1,0.000759329490958908,0.0007199034855007706
1,20,0.03300000000000001,0.0051093309892680395,0.027,0.045,1.356964037594169,0.1139857276797783,1.213022639845854,1.6094379124341003,0.3964152725882464,0.46150363916101833,1,0.0337270997129212,0.03197591681642978
2,20,0.04680000000000001,0.00925998749572874,0.036,0.08,1.7263808381762036,0.1432826586125274,1.5260563034950492,2.1972245773362196,0.6711682738411704,0.4615036391610152,1,0.0449431217020948,0.04260957904027237
3,20,0.04025,0.005552382134581611,0.033,0.054,1.2035021772089303,0.10568128474908693,1.0531499145913525,1.4508328822574619,0.39768296766610933,0.9724740030345471,1,-0.010141338112199158,-0.009614778224133362
4,20,0.3139,0.010789370987957996,0.295,0.339,1.3255659681498833,0.03305421126926467,1.2659644803539039,1.4007246259489197,0.1347601455950158,0.9724740030345471,1,-0.00018640526928963185,-0.0001767267104400898
5,20,0.6540000000000001,0.015193488910160112,0.625,0.68,2.043685930699737,0.02289820720816733,1.999277702639184,2.0823443013377974,0.08306659869861344,0.7878455581839751,1,0.002099846112041291,0.001990817626699519
6,20,0.022750000000000003,0.004755882783735484,0.011,0.031,1.1754058342993285,0.15532200765522108,0.7419373447293771,1.410986973710262,0.6690496289808849,0.5905394872291636,1,0.0472186765047659,0.04476698218791278
7,20,0.023450000000000006,0.006176994670379337,0.014,0.04,0.8550938829993335,0.18283057770362263,0.5389965007326869,1.2729656758128876,0.7339691750802007,0.46150363916101833,1,0.07873505291555803,0.07464696116756675
8,20,0.6587,0.009701329263234207,0.639,0.676,1.3694368438541495,0.014537642961156587,1.339634279653828,1.3950791906756235,0.055444911021795384,0.7878455581839747,1,0.000987142465604714,0.0009358879249865927
9,20,0.7463,0.019235657678275262,0.717,0.787,1.160073594058924,0.025255590523839157,1.120866336398388,1.212794537655084,0.09192820125669598,0.9724740030345471,1,0.0010060613794734027,0.0009538245285271169
10,20,0.28969999999999996,0.023582107401029364,0.226,0.355,2.1444473192639175,0.07979145000936562,1.9084837435361963,2.3445492920930775,0.4360655485568812,0.46150363916101833,1,-0.011240545412873702,-0.010656912339119713
11,20,0.24514999999999992,0.024570575042003735,0.217,0.317,1.9002687109437648,0.08956372921825165,1.7873638577550168,2.152374011170868,0.36501015341585097,0.9724740030345471,1,0.03334354892754405,0.03161228080525514
