query,full_cold_mean_s,split_cold_mean_s,cold_ratio_means,full_hot_mean_s,split_hot_mean_s,hot_ratio_means,mean_ln_shift_vs_full,ln_sd_ratio
0,0.04895000000000001,0.04640000000000001,0.9479060265577121,0.0010500000000000002,0.0010500000000000002,1.0,0.0,0.9999999999999998
1,0.37435,0.36290000000000006,0.969413650327234,0.03325000000000001,0.03300000000000001,0.9924812030075187,-0.008212860420038881,1.2536399174796176
2,0.2955,0.2930499999999999,0.9917089678510996,0.044550000000000006,0.04680000000000001,1.0505050505050506,0.0386013523533022,1.0604352918001234
3,0.5458000000000001,0.5143500000000001,0.9423781604983511,0.04315000000000001,0.04025,0.9327925840092699,-0.021208433208386168,0.4139073062235276
4,0.4184500000000001,0.42095000000000005,1.0059744294419881,0.31135,0.3139,1.008190139714148,0.008057574504330312,0.8796909836840894
5,2.08775,1.9908000000000001,0.9535624476110645,0.65655,0.6540000000000001,0.9961160612291526,-0.003750841670735028,0.867409049255738
6,0.038450000000000005,0.04085000000000001,1.0624187256176854,0.021500000000000002,0.022750000000000003,1.058139534883721,0.04558731981452979,0.7932005155212283
7,0.2173,0.2152,0.99033594109526,0.021900000000000003,0.023450000000000006,1.0707762557077627,0.046715162925202836,1.0227376938491837
8,1.5460500000000001,1.58005,1.021991526794088,0.6706000000000001,0.6587,0.9822546972860123,-0.01730520388035206,0.48605430426563695
9,1.0830499999999998,1.04405,0.9639905821522553,0.7621500000000001,0.7463,0.9792035688512758,-0.0206608808553419,0.891443992019395
10,1.442,1.2488999999999997,0.8660887656033285,0.2822,0.28969999999999996,1.0265768958185681,0.027771447788003112,0.7486784655756479
11,1.444,1.4794500000000002,1.024549861495845,0.23865000000000003,0.24514999999999992,1.0272365388644453,0.02268353316598537,2.0815338934187078
12,1.6553499999999999,1.6638000000000002,1.005104660645785,0.7685,0.7665,0.9973975276512687,-0.0026825729125636855,1.4084303247513197
13,2.7561999999999998,2.7401500000000003,0.9941767651113854,2.5538999999999996,2.5122,0.9836720310113944,-0.016191675374652714,0.9559655886932763
14,2.0482000000000005,2.0001500000000005,0.9765403769163168,0.9331000000000002,0.9355000000000002,1.002572071589326,0.0025388745056860174,1.0066865451377094
15,1.1653999999999998,1.02765,0.8818002402608548,0.43565,0.43479999999999996,0.9980488924595432,-0.0018667915109880084,0.8361749342310056
16,4.0024500000000005,3.9881,0.9964146959987007,2.0165,2.00795,0.9957599801636499,-0.0042505504682850415,1.0867004151606485
17,0.23349999999999999,0.1887,0.8081370449678802,0.04880000000000001,0.04805000000000001,0.9846311475409836,-0.012069179110753891,0.9289174367280245
18,6.447749999999999,6.433449999999999,0.9977821720755301,3.9228499999999995,3.8876000000000004,0.9910141861146873,-0.008982595251563641,0.7889745908213158
19,0.030550000000000004,0.021700000000000004,0.7103109656301146,0.012250000000000002,0.012000000000000002,0.9795918367346939,-0.011100002030606682,0.9598639943639633
