query,baseline_hot_s,candidate_hot_s,baseline_ln,candidate_ln,benefit_ln,paired_delta_sd
39,0.14433333333333334,0.192,1.5709365684081886,1.7903795784188639,-0.21944301001067523,0.6016568501707416
25,0.09941666666666667,0.11125,2.370194885570971,2.445975923030361,-0.07578103745938984,0.22559821717599723
36,0.062,0.06691666666666667,1.2763369164393572,1.3395800359783299,-0.06324311953897266,0.17475904607040277
41,0.03316666666666667,0.035500000000000004,1.1944926772547089,1.2511212844684856,-0.056628607213776695,0.12410523262413707
20,0.026083333333333333,0.028166666666666666,-0.6577565848479551,-0.6096069681886239,-0.0481496166593311,0.2374517678908078
3,0.03283333333333333,0.03475,1.0444431956350761,1.0841168918237998,-0.03967369618872357,0.15203331059686626
19,0.010416666666666666,0.011166666666666667,0.7109080997634232,0.7480385431352418,-0.03713044337181853,0.10083563989675184
14,0.7199166666666666,0.7304166666666667,1.3299172760270885,1.3439160699186883,-0.013998793891599673,0.041577624196134366
34,1.9855833333333333,2.0089166666666665,2.0112191424041614,2.0229516847000437,-0.011732542295882628,0.028578911920582355
22,0.293,0.29641666666666666,2.2784213332196335,2.289040068830614,-0.010618735610980553,0.07323206850777446
35,0.40458333333333335,0.40891666666666665,1.1368865633436442,1.1473150752044856,-0.010428511860841297,0.010129424150169125
13,1.1865,1.1955833333333334,1.3216290469421013,1.3291533386103858,-0.007524291668284444,0.043400226323348924
40,0.02175,0.02175,0.9666715574909659,0.9721267129766112,-0.005455155485645245,0.10776334032654836
24,0.017,0.017166666666666667,0.992794211739626,0.9974020473336918,-0.004607835594065819,0.06787475741632047
4,0.30666666666666664,0.30774999999999997,1.3032843254654782,1.3066849037536872,-0.00340057828820887,0.03979059994433152
9,0.7244166666666666,0.726,1.1308876960517213,1.1328748379097993,-0.0019871418580779308,0.02913404736639428
8,0.6371666666666667,0.6374166666666666,1.3367452767172472,1.3371673800092365,-0.00042210329198947666,0.01608459198640588
30,0.33033333333333337,0.3304166666666667,1.2865270394257688,1.2867718563979866,-0.0002448169722177503,0.0273779724069747
0,0.001,0.001,0.09531017980432474,0.09531017980432474,0.0,0.0
15,0.43483333333333335,0.43474999999999997,1.028748476738606,1.0285742243444906,0.0001742523941152263,0.01262473775663815
37,0.043,0.042666666666666665,1.2558894032682202,1.254740214961268,0.0011491883069521165,0.10804809902859006
28,6.03075,6.016416666666666,1.5305393179425575,1.5282343173099364,0.0023050006326209016,0.026702978615005653
5,0.6585000000000001,0.657,2.0505716435813843,2.048254325055213,0.0023173185261713045,0.028921181501967756
12,0.68825,0.685,1.4066480072375596,1.4021651632426455,0.004482843994914036,0.026381950253760052
38,0.04,0.03966666666666667,1.3451104370697908,1.337293543858247,0.007816893211543996,0.09982459781956642
6,0.01975,0.01916666666666667,1.071632239094969,1.0616118223236355,0.010020416771333676,0.25483254682161766
21,0.10099999999999999,0.09991666666666667,1.1502111929919931,1.1397992338671867,0.010411959124806414,0.16621910536431897
33,2.0723333333333334,2.0475,2.0539682558644543,2.0419624954362674,0.012005760428186648,0.01083752751744531
29,0.03125,0.030333333333333334,1.0082668850767424,0.9876970153748165,0.02056986970192597,0.11131517581801526
7,0.025333333333333333,0.027333333333333334,0.9160935713097816,0.8933731608601473,0.02272041044963438,0.4442774999872175
26,0.019583333333333335,0.018916666666666665,1.0833469512880562,1.0603934122772558,0.022953539010800633,0.06527629893022147
31,0.93525,0.9131666666666667,1.9154778807568142,1.8923003790915551,0.02317750166525928,0.07475746058763656
23,0.12075,0.11725,1.3369346824742083,1.312439779164082,0.024494903310126454,0.22553645628313415
2,0.0445,0.042499999999999996,1.6834859496250205,1.6542368254526014,0.029249124172418966,0.16310801392853116
42,0.042333333333333334,0.035500000000000004,1.2184609284804124,1.176078544139508,0.04238238434090438,0.39315547869428963
10,0.21983333333333333,0.21,1.881219559929956,1.8313638935067305,0.049855666423225364,0.11411922801590411
17,0.043333333333333335,0.04066666666666666,1.6712840323563876,1.6207522045807594,0.050531827775628126,0.08662043279484097
1,0.033,0.030916666666666665,1.3602156619229473,1.3082070652991127,0.05200859662383465,0.16034042362719214
27,0.23466666666666666,0.22141666666666668,0.9560651391381719,0.9003784312554526,0.05568670788271935,0.03848041879492138
16,1.5244166666666668,1.4274166666666666,2.022216775735797,1.957313191401196,0.0649035843346011,0.03533640460158443
11,0.19366666666666668,0.17858333333333334,1.6673852105269515,1.5950469968036247,0.0723382137233269,0.22193990921390727
32,4.097916666666666,3.61525,2.468377431184765,2.3433802117093507,0.12499721947541413,0.02488149259132838
18,2.9303333333333335,2.4124166666666667,1.2339360875227192,1.0402094634333,0.19372662408941949,0.012843781249082923
