leg,query,try,wall_s,cpu_s,busy_cores,gc_count,gc_pause_s
cool-01,36,3,0.066,0.4,6.0,0,0.0
cool-01,37,1,0.81,2.8,3.5,0,0.0
cool-01,37,2,0.04,0.2,5.5,0,0.0
cool-01,37,3,0.042,0.2,5.2,0,0.0
cool-01,38,1,0.722,2.8,3.8,0,0.0
cool-01,38,2,0.038,0.2,6.4,0,0.0
cool-01,38,3,0.041,0.3,6.9,0,0.0
cool-01,39,1,0.541,5.9,11.0,0,0.0
cool-01,39,2,0.493,6.5,13.1,4,0.12
cool-01,39,3,0.378,4.3,11.4,0,0.0
cool-01,40,1,0.135,0.5,3.8,0,0.0
cool-01,40,2,0.031,0.2,6.4,0,0.0
cool-01,40,3,0.03,0.2,5.9,0,0.0
cool-01,41,1,0.085,0.3,3.8,0,0.0
cool-01,41,2,0.049,0.2,4.3,0,0.0
cool-01,41,3,0.042,0.2,5.0,0,0.0
cool-01,42,1,0.362,2.3,6.3,0,0.0
cool-01,42,2,0.049,0.3,5.9,0,0.0
cool-01,42,3,0.043,0.3,6.5,0,0.0
cool-02,0,1,0.05,0.1,1.8,0,0.0
cool-02,0,2,0.002,0.0,0.0,0,0.0
cool-02,0,3,0.001,0.0,9.7,0,0.0
cool-02,1,1,0.344,3.9,11.3,0,0.0
cool-02,1,2,0.029,0.2,7.6,0,0.0
cool-02,1,3,0.028,0.2,6.5,0,0.0
cool-02,2,1,0.32,3.7,11.7,1,0.06
cool-02,2,2,0.056,0.7,11.6,0,0.0
cool-02,2,3,0.034,0.3,9.9,0,0.0
cool-02,3,1,1.169,9.1,7.7,1,0.15
cool-02,3,2,0.103,1.5,14.3,0,0.0
cool-02,3,3,0.043,0.6,13.1,0,0.0
cool-02,4,1,0.433,6.1,14.2,3,0.04
cool-02,4,2,0.351,4.7,13.4,0,0.0
cool-02,4,3,0.276,3.6,13.0,0,0.0
cool-02,5,1,2.603,33.9,13.0,5,0.1
cool-02,5,2,0.703,6.9,9.9,1,0.01
cool-02,5,3,0.629,6.2,9.9,2,0.02
cool-02,6,1,0.051,0.3,5.3,1,0.0
cool-02,6,2,0.03,0.2,5.7,1,0.0
cool-02,6,3,0.028,0.1,2.2,0,0.0
cool-02,7,1,0.22,2.0,8.9,0,0.0
cool-02,7,2,0.029,0.3,10.3,0,0.0
cool-02,7,3,0.026,0.3,9.7,0,0.0
cool-02,8,1,1.835,25.1,13.7,5,0.13
cool-02,8,2,0.61,9.3,15.2,1,0.02
cool-02,8,3,0.614,8.9,14.5,0,0.0
cool-02,9,1,0.99,14.9,15.0,4,0.09
cool-02,9,2,0.779,11.3,14.5,1,0.05
cool-02,9,3,0.69,10.7,15.5,0,0.0
cool-02,10,1,1.741,16.5,9.5,5,0.22
cool-02,10,2,0.364,2.8,7.8,2,0.1
cool-02,10,3,0.267,1.7,6.2,2,0.0
cool-02,11,1,1.393,17.9,12.8,3,0.18
cool-02,11,2,0.252,2.0,7.9,2,0.0
cool-02,11,3,0.246,1.5,6.3,1,0.02
cool-02,12,1,1.681,22.0,13.1,4,0.12
cool-02,12,2,0.819,9.5,11.5,1,0.03
cool-02,12,3,0.798,9.5,11.9,1,0.03
cool-02,13,1,2.71,31.5,11.6,8,0.47
cool-02,13,2,3.179,37.5,11.8,10,0.82
cool-02,13,3,2.5,27.3,10.9,8,0.4
cool-02,14,1,2.49,39.3,15.8,6,0.13
cool-02,14,2,1.034,13.9,13.4,3,0.13
cool-02,14,3,0.949,13.5,14.2,4,0.04
cool-02,15,1,1.012,17.3,17.1,1,0.11
cool-02,15,2,0.428,8.0,18.6,0,0.0
cool-02,15,3,0.437,7.9,18.1,0,0.0
cool-02,16,1,5.049,78.3,15.5,8,0.27
cool-02,16,2,2.045,27.7,13.5,1,0.02
cool-02,16,3,2.072,28.8,13.9,4,0.04
cool-02,17,1,0.385,5.9,15.3,0,0.0
cool-02,17,2,0.055,0.3,5.8,0,0.0
cool-02,17,3,0.048,0.3,5.8,0,0.0
cool-02,18,1,6.673,104.2,15.6,7,0.31
cool-02,18,2,4.174,66.2,15.9,5,0.25
cool-02,18,3,3.946,63.2,16.0,3,0.01
cool-02,19,1,0.02,0.0,2.0,0,0.0
cool-02,19,2,0.016,0.0,2.5,0,0.0
cool-02,19,3,0.013,0.0,1.6,0,0.0
cool-02,20,1,1.965,24.1,12.3,6,0.1
cool-02,20,2,0.038,0.5,13.5,0,0.0
cool-02,20,3,0.038,0.5,11.9,0,0.0
cool-02,21,1,0.273,2.7,9.7,0,0.0
cool-02,21,2,0.182,2.4,13.2,0,0.0
cool-02,21,3,0.213,2.7,12.8,0,0.0
cool-02,22,1,6.687,28.4,4.2,6,0.12
cool-02,22,2,0.498,5.4,10.8,3,0.11
cool-02,22,3,0.364,3.2,8.7,0,0.0
cool-02,23,1,0.619,3.6,5.8,0,0.0
cool-02,23,2,0.157,0.5,3.1,0,0.0
cool-02,23,3,0.16,0.5,3.1,0,0.0
cool-02,24,1,0.098,0.2,1.8,0,0.0
cool-02,24,2,0.035,0.1,2.3,0,0.0
cool-02,24,3,0.018,0.0,2.2,0,0.0
cool-02,25,1,0.308,2.2,7.2,0,0.0
cool-02,25,2,0.151,1.5,9.8,1,0.06
cool-02,25,3,0.084,0.5,6.0,0,0.0
cool-02,26,1,0.039,0.1,2.0,0,0.0
cool-02,26,2,0.022,0.1,2.3,0,0.0
cool-02,26,3,0.021,0.1,2.4,0,0.0
cool-02,27,1,1.569,24.4,15.5,4,0.08
cool-02,27,2,0.232,3.7,15.8,0,0.0
cool-02,27,3,0.2,3.6,17.8,0,0.0
cool-02,28,1,12.756,134.7,10.6,30,0.68
cool-02,28,2,8.925,80.0,9.0,22,0.47
cool-02,28,3,8.759,76.7,8.8,21,0.43
cool-02,29,1,0.837,2.9,3.5,0,0.0
cool-02,29,2,0.035,0.3,8.5,0,0.0
cool-02,29,3,0.032,0.3,9.1,0,0.0
cool-02,30,1,3.591,43.3,12.1,4,0.36
cool-02,30,2,0.536,9.4,17.6,0,0.0
cool-02,30,3,0.535,9.4,17.5,0,0.0
cool-02,31,1,3.236,27.3,8.4,0,0.0
cool-02,31,2,3.322,28.1,8.5,1,0.13
cool-02,31,3,2.957,24.9,8.4,3,0.05
cool-02,32,1,10.401,154.6,14.9,5,0.3
cool-02,32,2,6.865,124.6,18.1,1,0.01
cool-02,32,3,6.835,125.5,18.4,0,0.0
cool-02,33,1,3.558,41.0,11.5,12,0.24
cool-02,33,2,2.429,33.6,13.8,10,0.12
cool-02,33,3,2.323,31.9,13.7,5,0.07
cool-02,34,1,2.375,31.6,13.3,5,0.07
cool-02,34,2,2.236,30.3,13.6,2,0.05
cool-02,34,3,2.235,31.1,13.9,4,0.07
cool-02,35,1,0.678,12.4,18.2,0,0.0
cool-02,35,2,0.393,7.5,19.0,0,0.0
cool-02,35,3,0.391,7.4,18.9,0,0.0
cool-02,36,1,0.28,2.2,7.9,0,0.0
cool-02,36,2,0.103,0.5,5.2,0,0.0
cool-02,36,3,0.088,0.5,5.3,0,0.0
cool-02,37,1,0.923,3.1,3.3,0,0.0
cool-02,37,2,0.054,0.3,5.9,0,0.0
cool-02,37,3,0.053,0.3,6.4,0,0.0
cool-02,38,1,0.573,2.6,4.5,0,0.0
cool-02,38,2,0.04,0.3,7.0,0,0.0
cool-02,38,3,0.04,0.2,6.1,0,0.0
cool-02,39,1,0.782,9.3,11.9,4,0.11
cool-02,39,2,0.368,4.0,10.9,0,0.0
cool-02,39,3,0.323,3.5,10.7,0,0.0
cool-02,40,1,0.14,0.6,4.0,0,0.0
cool-02,40,2,0.037,0.3,6.8,0,0.0
cool-02,40,3,0.038,0.2,6.3,0,0.0
cool-02,41,1,0.101,0.4,4.0,0,0.0
cool-02,41,2,0.048,0.3,5.6,0,0.0
cool-02,41,3,0.048,0.3,5.4,0,0.0
cool-02,42,1,0.407,2.9,7.1,1,0.05
cool-02,42,2,0.043,0.3,6.5,0,0.0
cool-02,42,3,0.042,0.3,6.2,0,0.0
cap65-01,0,1,0.053,0.1,2.3,0,0.0
cap65-01,0,2,0.002,0.0,5.5,0,0.0
cap65-01,0,3,0.001,0.0,0.0,0,0.0
cap65-01,1,1,0.369,4.3,11.6,0,0.0
cap65-01,1,2,0.042,0.3,8.1,0,0.0
cap65-01,1,3,0.036,0.3,7.0,0,0.0
cap65-01,2,1,0.271,3.0,10.9,0,0.0
cap65-01,2,2,0.072,0.7,10.0,0,0.0
cap65-01,2,3,0.045,0.3,6.7,0,0.0
cap65-01,3,1,1.092,7.8,7.2,1,0.11
cap65-01,3,2,0.108,1.6,14.8,0,0.0
cap65-01,3,3,0.037,0.3,8.8,0,0.0
cap65-01,4,1,0.395,5.3,13.5,0,0.0
cap65-01,4,2,0.465,6.8,14.7,3,0.1
cap65-01,4,3,0.283,3.7,12.9,0,0.0
cap65-01,5,1,2.287,26.0,11.4,5,0.12
cap65-01,5,2,0.714,7.1,9.9,1,0.01
cap65-01,5,3,0.681,6.7,9.8,2,0.03
cap65-01,6,1,0.056,0.3,5.5,1,0.0
cap65-01,6,2,0.033,0.2,4.8,1,0.0
cap65-01,6,3,0.032,0.1,1.9,0,0.0
cap65-01,7,1,0.253,2.1,8.4,0,0.0
cap65-01,7,2,0.107,1.1,9.9,0,0.0
cap65-01,7,3,0.062,0.8,12.6,0,0.0
cap65-01,8,1,1.771,23.5,13.3,5,0.13
cap65-01,8,2,0.655,9.4,14.3,1,0.02
cap65-01,8,3,0.657,9.1,13.8,0,0.0
cap65-01,9,1,1.117,15.7,14.0,4,0.1
cap65-01,9,2,0.818,11.3,13.8,1,0.03
cap65-01,9,3,0.745,10.6,14.2,0,0.0
cap65-01,10,1,1.581,13.6,8.6,5,0.2
cap65-01,10,2,0.456,4.1,9.0,2,0.11
cap65-01,10,3,0.329,2.0,6.1,2,0.0
cap65-01,11,1,1.531,16.3,10.6,3,0.2
cap65-01,11,2,0.288,2.4,8.2,2,0.0
cap65-01,11,3,0.249,1.6,6.4,1,0.02
cap65-01,12,1,1.834,20.9,11.4,4,0.11
cap65-01,12,2,0.78,9.5,12.2,1,0.03
cap65-01,12,3,0.819,10.5,12.9,4,0.05
cap65-01,13,1,2.964,31.2,10.5,7,0.49
cap65-01,13,2,2.485,28.4,11.4,10,0.42
cap65-01,13,3,2.635,30.0,11.4,9,0.42
cap65-01,14,1,2.436,37.8,15.5,6,0.09
cap65-01,14,2,1.283,17.6,13.7,3,0.15
cap65-01,14,3,1.021,13.7,13.4,4,0.03
cap65-01,15,1,1.046,17.7,16.9,1,0.13
cap65-01,15,2,0.438,8.0,18.1,0,0.0
cap65-01,15,3,0.438,7.9,18.1,0,0.0
cap65-01,16,1,4.741,70.9,15.0,8,0.27
cap65-01,16,2,2.064,27.4,13.3,1,0.02
cap65-01,16,3,2.111,28.8,13.7,4,0.05
cap65-01,17,1,0.19,2.4,12.7,0,0.0
cap65-01,17,2,0.055,0.3,6.0,0,0.0
cap65-01,17,3,0.048,0.3,6.5,0,0.0
cap65-01,18,1,7.559,120.0,15.9,7,0.31
cap65-01,18,2,4.118,66.7,16.2,5,0.26
cap65-01,18,3,3.9,63.1,16.2,3,0.02
cap65-01,19,1,0.037,0.1,1.3,0,0.0
cap65-01,19,2,0.016,0.0,1.8,0,0.0
cap65-01,19,3,0.014,0.0,2.8,0,0.0
cap65-01,20,1,2.412,19.3,8.0,6,0.1
cap65-01,20,2,0.033,0.4,12.8,0,0.0
cap65-01,20,3,0.027,0.3,12.2,0,0.0
cap65-01,21,1,0.288,3.6,12.3,0,0.0
cap65-01,21,2,0.19,2.4,12.8,0,0.0
cap65-01,21,3,0.218,2.9,13.5,0,0.0
cap65-01,22,1,7.335,29.6,4.0,6,0.12
cap65-01,22,2,0.75,4.8,6.4,3,0.12
cap65-01,22,3,0.346,2.6,7.4,0,0.0
cap65-01,23,1,0.608,3.9,6.3,0,0.0
cap65-01,23,2,0.141,0.4,3.0,0,0.0
cap65-01,23,3,0.123,0.4,2.9,0,0.0
cap65-01,24,1,0.151,0.3,1.8,0,0.0
cap65-01,24,2,0.025,0.1,2.4,0,0.0
cap65-01,24,3,0.021,0.1,2.3,0,0.0
cap65-01,25,1,0.337,2.4,7.2,0,0.0
cap65-01,25,2,0.151,1.5,9.8,1,0.06
cap65-01,25,3,0.094,0.7,6.9,0,0.0
cap65-01,26,1,0.039,0.1,2.1,0,0.0
cap65-01,26,2,0.025,0.1,2.4,0,0.0
cap65-01,26,3,0.025,0.1,2.4,0,0.0
cap65-01,27,1,1.954,29.6,15.2,4,0.09
cap65-01,27,2,0.224,3.7,16.5,0,0.0
cap65-01,27,3,0.209,3.6,17.3,0,0.0
cap65-01,28,1,12.891,123.5,9.6,30,0.67
cap65-01,28,2,8.852,75.8,8.6,22,0.44
cap65-01,28,3,8.647,74.6,8.6,21,0.44
cap65-01,29,1,0.174,1.1,6.5,0,0.0
cap65-01,29,2,0.046,0.3,7.4,0,0.0
cap65-01,29,3,0.037,0.3,8.0,0,0.0
cap65-01,30,1,2.807,35.6,12.7,4,0.34
cap65-01,30,2,0.517,9.1,17.6,0,0.0
cap65-01,30,3,0.522,9.0,17.3,0,0.0
cap65-01,31,1,2.998,27.1,9.0,1,0.15
cap65-01,31,2,1.854,24.6,13.3,0,0.0
cap65-01,31,3,2.267,25.2,11.1,3,0.05
cap65-01,32,1,9.36,157.4,16.8,7,0.32
cap65-01,32,2,6.98,127.2,18.2,1,0.24
cap65-01,32,3,6.767,124.5,18.4,0,0.0
cap65-01,33,1,3.717,42.2,11.4,13,0.15
cap65-01,33,2,2.84,35.4,12.5,7,0.12
cap65-01,33,3,2.371,31.4,13.2,4,0.06
cap65-01,34,1,2.332,31.1,13.3,5,0.07
cap65-01,34,2,2.194,29.5,13.5,2,0.04
cap65-01,34,3,2.261,30.9,13.7,4,0.07
cap65-01,35,1,0.634,11.7,18.4,0,0.0
cap65-01,35,2,0.395,7.5,18.9,0,0.0
cap65-01,35,3,0.394,7.3,18.5,0,0.0
cap65-01,36,1,0.329,2.6,7.8,0,0.0
cap65-01,36,2,0.069,0.4,5.8,0,0.0
cap65-01,36,3,0.063,0.4,5.6,0,0.0
cap65-01,37,1,0.622,3.0,4.8,0,0.0
cap65-01,37,2,0.045,0.2,5.1,0,0.0
cap65-01,37,3,0.05,0.3,5.5,0,0.0
cap65-01,38,1,0.753,3.6,4.7,0,0.0
cap65-01,38,2,0.043,0.3,7.1,0,0.0
cap65-01,38,3,0.039,0.2,6.0,0,0.0
cap65-01,39,1,0.792,9.1,11.5,0,0.0
cap65-01,39,2,0.502,6.5,12.9,4,0.12
cap65-01,39,3,0.369,4.1,11.0,0,0.0
cap65-01,40,1,0.137,0.5,3.5,0,0.0
cap65-01,40,2,0.036,0.2,5.6,0,0.0
cap65-01,40,3,0.038,0.2,5.3,0,0.0
cap65-01,41,1,0.098,0.4,3.6,0,0.0
cap65-01,41,2,0.047,0.2,4.7,0,0.0
cap65-01,41,3,0.052,0.3,4.8,0,0.0
cap65-01,42,1,0.231,2.0,8.7,0,0.0
cap65-01,42,2,0.043,0.3,6.1,0,0.0
cap65-01,42,3,0.046,0.3,6.4,0,0.0
