leg,query,try,wall_s,cpu_s,busy_cores,gc_count,gc_pause_s
baseline-01,32,3,6.875,125.8,18.3,0,0.0
baseline-01,33,1,3.444,39.8,11.6,8,0.14
baseline-01,33,2,2.381,32.2,13.5,6,0.13
baseline-01,33,3,2.304,31.4,13.6,5,0.1
baseline-01,34,1,2.272,30.7,13.5,5,0.08
baseline-01,34,2,2.19,29.8,13.6,2,0.04
baseline-01,34,3,2.267,30.5,13.5,4,0.07
baseline-01,35,1,0.802,15.5,19.3,0,0.0
baseline-01,35,2,0.415,7.7,18.6,0,0.0
baseline-01,35,3,0.411,7.7,18.7,0,0.0
baseline-01,36,1,0.265,2.1,8.1,0,0.0
baseline-01,36,2,0.071,0.4,5.6,0,0.0
baseline-01,36,3,0.063,0.3,5.3,0,0.0
baseline-01,37,1,0.876,3.2,3.6,0,0.0
baseline-01,37,2,0.045,0.3,5.6,0,0.0
baseline-01,37,3,0.042,0.2,4.8,0,0.0
baseline-01,38,1,0.352,2.3,6.6,0,0.0
baseline-01,38,2,0.035,0.2,6.2,0,0.0
baseline-01,38,3,0.041,0.3,6.3,0,0.0
baseline-01,39,1,0.657,6.8,10.4,1,0.08
baseline-01,39,2,0.34,4.3,12.7,3,0.04
baseline-01,39,3,0.246,2.5,10.3,0,0.0
baseline-01,40,1,0.116,0.5,4.0,0,0.0
baseline-01,40,2,0.035,0.2,6.3,0,0.0
baseline-01,40,3,0.035,0.2,6.7,0,0.0
baseline-01,41,1,0.075,0.3,4.0,0,0.0
baseline-01,41,2,0.05,0.3,5.0,0,0.0
baseline-01,41,3,0.044,0.2,5.0,0,0.0
baseline-01,42,1,0.345,2.0,5.8,0,0.0
baseline-01,42,2,0.041,0.3,6.9,0,0.0
baseline-01,42,3,0.041,0.3,6.4,0,0.0
baseline-02,0,1,0.055,0.1,1.4,0,0.0
baseline-02,0,2,0.002,0.0,0.0,0,0.0
baseline-02,0,3,0.002,0.0,0.0,0,0.0
baseline-02,1,1,0.406,5.0,12.3,0,0.0
baseline-02,1,2,0.041,0.4,8.7,0,0.0
baseline-02,1,3,0.035,0.3,8.3,0,0.0
baseline-02,2,1,0.287,3.8,13.1,0,0.0
baseline-02,2,2,0.086,1.2,13.3,0,0.0
baseline-02,2,3,0.052,0.6,10.7,0,0.0
baseline-02,3,1,0.995,8.5,8.5,1,0.07
baseline-02,3,2,0.144,2.5,17.4,0,0.0
baseline-02,3,3,0.035,0.3,8.8,0,0.0
baseline-02,4,1,0.556,8.0,14.5,4,0.15
baseline-02,4,2,0.345,4.6,13.3,0,0.0
baseline-02,4,3,0.312,3.9,12.6,0,0.0
baseline-02,5,1,2.471,30.5,12.3,5,0.13
baseline-02,5,2,0.765,7.6,9.9,1,0.02
baseline-02,5,3,0.699,7.3,10.4,2,0.03
baseline-02,6,1,0.029,0.2,5.9,0,0.0
baseline-02,6,2,0.019,0.1,6.3,1,0.0
baseline-02,6,3,0.016,0.1,6.3,0,0.0
baseline-02,7,1,0.216,2.2,10.1,1,0.0
baseline-02,7,2,0.033,0.3,9.8,0,0.0
baseline-02,7,3,0.031,0.4,12.7,0,0.0
baseline-02,8,1,1.675,25.6,15.3,5,0.12
baseline-02,8,2,0.688,10.7,15.6,1,0.02
baseline-02,8,3,0.642,9.6,14.9,0,0.0
baseline-02,9,1,1.116,17.2,15.4,4,0.1
baseline-02,9,2,0.762,11.5,15.1,0,0.0
baseline-02,9,3,0.748,11.7,15.6,1,0.02
baseline-02,10,1,2.041,16.0,7.8,3,0.25
baseline-02,10,2,0.377,2.8,7.5,2,0.04
baseline-02,10,3,0.298,2.1,7.1,2,0.05
baseline-02,11,1,1.39,17.0,12.2,5,0.19
baseline-02,11,2,0.263,2.1,7.8,2,0.0
baseline-02,11,3,0.246,1.7,6.8,1,0.02
baseline-02,12,1,1.869,21.9,11.7,4,0.11
baseline-02,12,2,0.765,9.9,12.9,1,0.03
baseline-02,12,3,0.787,10.0,12.7,1,0.03
baseline-02,13,1,2.749,31.4,11.4,8,0.44
baseline-02,13,2,3.0,36.4,12.1,10,0.79
baseline-02,13,3,2.63,28.2,10.7,9,0.48
baseline-02,14,1,2.098,32.2,15.4,6,0.11
baseline-02,14,2,0.984,13.3,13.5,2,0.08
baseline-02,14,3,1.007,14.0,13.9,4,0.05
baseline-02,15,1,1.346,23.7,17.6,1,0.11
baseline-02,15,2,0.427,8.0,18.7,0,0.0
baseline-02,15,3,0.432,8.1,18.7,0,0.0
baseline-02,16,1,3.851,55.6,14.4,8,0.27
baseline-02,16,2,2.062,28.6,13.9,1,0.02
baseline-02,16,3,2.111,29.2,13.8,4,0.04
baseline-02,17,1,0.232,3.2,14.0,0,0.0
baseline-02,17,2,0.049,0.3,5.3,0,0.0
baseline-02,17,3,0.044,0.2,5.2,0,0.0
baseline-02,18,1,6.968,107.9,15.5,10,0.34
baseline-02,18,2,4.179,66.9,16.0,2,0.22
baseline-02,18,3,4.022,65.5,16.3,3,0.02
baseline-02,19,1,0.03,0.0,1.0,0,0.0
baseline-02,19,2,0.01,0.0,3.0,0,0.0
baseline-02,19,3,0.01,0.0,2.0,0,0.0
baseline-02,20,1,2.415,22.5,9.3,6,0.1
baseline-02,20,2,0.038,0.5,12.5,0,0.0
baseline-02,20,3,0.029,0.4,15.0,0,0.0
baseline-02,21,1,0.283,2.7,9.6,0,0.0
baseline-02,21,2,0.193,2.4,12.6,0,0.0
baseline-02,21,3,0.191,2.7,14.0,0,0.0
baseline-02,22,1,8.023,31.5,3.9,6,0.12
baseline-02,22,2,0.367,2.7,7.2,0,0.0
baseline-02,22,3,0.346,2.8,8.1,0,0.0
baseline-02,23,1,0.544,3.8,7.0,0,0.0
baseline-02,23,2,0.141,0.5,3.3,0,0.0
baseline-02,23,3,0.156,0.5,2.9,0,0.0
baseline-02,24,1,0.101,0.2,1.9,0,0.0
baseline-02,24,2,0.017,0.0,2.3,0,0.0
baseline-02,24,3,0.017,0.1,2.9,0,0.0
baseline-02,25,1,0.306,2.3,7.5,0,0.0
baseline-02,25,2,0.147,1.3,8.8,0,0.0
baseline-02,25,3,0.095,0.7,7.1,0,0.0
baseline-02,26,1,0.039,0.1,2.1,0,0.0
baseline-02,26,2,0.02,0.1,2.5,0,0.0
baseline-02,26,3,0.021,0.1,2.4,0,0.0
baseline-02,27,1,2.019,32.5,16.1,4,0.19
baseline-02,27,2,0.21,3.6,16.9,0,0.0
baseline-02,27,3,0.196,3.6,18.4,0,0.0
baseline-02,28,1,17.69,175.0,9.9,31,0.78
baseline-02,28,2,10.535,86.7,8.2,27,0.55
baseline-02,28,3,10.329,87.4,8.5,26,0.58
baseline-02,29,1,0.882,3.1,3.5,0,0.0
baseline-02,29,2,0.037,0.3,8.7,0,0.0
baseline-02,29,3,0.031,0.3,10.5,0,0.0
baseline-02,30,1,2.99,29.8,10.0,4,0.31
baseline-02,30,2,0.518,9.3,17.9,0,0.0
baseline-02,30,3,0.526,9.4,17.9,0,0.0
baseline-02,31,1,3.668,28.4,7.8,0,0.0
baseline-02,31,2,4.191,32.4,7.7,1,0.13
baseline-02,31,3,3.575,29.1,8.1,3,0.07
baseline-02,32,1,10.673,154.9,14.5,5,0.26
baseline-02,32,2,7.25,132.2,18.2,1,0.23
baseline-02,32,3,7.207,127.2,17.6,0,0.0
baseline-02,33,1,3.631,41.9,11.5,10,0.16
baseline-02,33,2,2.366,32.9,13.9,6,0.13
baseline-02,33,3,2.274,31.0,13.6,4,0.05
baseline-02,34,1,2.284,31.5,13.8,4,0.06
baseline-02,34,2,2.263,31.6,14.0,5,0.08
baseline-02,34,3,2.271,31.2,13.7,5,0.08
baseline-02,35,1,0.714,13.4,18.7,0,0.0
baseline-02,35,2,0.417,7.7,18.5,0,0.0
baseline-02,35,3,0.414,7.7,18.5,0,0.0
baseline-02,36,1,0.261,2.2,8.4,0,0.0
baseline-02,36,2,0.066,0.4,5.9,0,0.0
baseline-02,36,3,0.065,0.4,5.7,0,0.0
baseline-02,37,1,1.339,3.6,2.7,0,0.0
baseline-02,37,2,0.043,0.2,5.1,0,0.0
baseline-02,37,3,0.042,0.2,5.0,0,0.0
baseline-02,38,1,0.824,2.7,3.3,0,0.0
baseline-02,38,2,0.041,0.3,6.4,0,0.0
baseline-02,38,3,0.044,0.3,5.9,0,0.0
baseline-02,39,1,0.465,4.6,10.0,0,0.0
baseline-02,39,2,0.425,5.0,11.8,1,0.06
baseline-02,39,3,0.389,4.2,10.9,0,0.0
baseline-02,40,1,0.095,0.5,4.7,0,0.0
baseline-02,40,2,0.029,0.2,6.3,0,0.0
baseline-02,40,3,0.03,0.2,5.9,0,0.0
baseline-02,41,1,0.065,0.3,3.9,0,0.0
baseline-02,41,2,0.041,0.2,4.1,0,0.0
baseline-02,41,3,0.043,0.2,4.6,0,0.0
baseline-02,42,1,0.461,2.1,4.5,0,0.0
baseline-02,42,2,0.036,0.2,6.7,0,0.0
baseline-02,42,3,0.035,0.2,5.2,0,0.0
baseline-03,0,1,0.052,0.1,1.5,0,0.0
baseline-03,0,2,0.002,0.0,6.5,0,0.0
baseline-03,0,3,0.001,0.0,0.0,0,0.0
baseline-03,1,1,0.451,5.5,12.1,0,0.0
baseline-03,1,2,0.041,0.3,8.1,0,0.0
baseline-03,1,3,0.03,0.3,8.2,0,0.0
baseline-03,2,1,0.293,3.5,11.9,0,0.0
baseline-03,2,2,0.067,0.8,12.0,0,0.0
baseline-03,2,3,0.037,0.3,8.6,0,0.0
