query,baseline_hot_s,candidate_hot_s,baseline_ln,candidate_ln,benefit_ln,paired_delta_sd
25,0.088,0.1175,2.280695973017237,2.5193699111272765,-0.2386739381100392,0.2504276023799764
7,0.0198,0.0228,0.7376134052066987,0.8380875370428578,-0.10047413183615905,0.2084917242367682
6,0.0172,0.019799999999999998,0.9875164691079574,1.0789835219165167,-0.09146705280855925,0.1925565499951904
17,0.038400000000000004,0.0424,1.5733857206025297,1.6545151480435858,-0.08112942744105607,0.11007421034190434
10,0.1983,0.20929999999999999,1.7745242434236146,1.831160579472208,-0.05663633604859315,0.13891968205896324
11,0.1649,0.1751,1.5251597278806093,1.5756276983514481,-0.05046797047083893,0.13669822203586277
38,0.0382,0.0407,1.3094935753579278,1.3589453840869867,-0.049451808729058876,0.061787589610191936
37,0.0395,0.041299999999999996,1.1920443726187764,1.228362022978596,-0.03631765035981971,0.06916571305527947
42,0.0354,0.037,1.1714853305276358,1.206347164238487,-0.034861833710851255,0.14619855671638868
19,0.010499999999999999,0.011,0.7168146217475836,0.7403653216809378,-0.0235506999333543,0.07653673707696425
26,0.0188,0.0194,1.057215714081827,1.0777945987143536,-0.02057888463252664,0.0496321153767607
36,0.0623,0.0639,1.280727175169058,1.3009550989804481,-0.020227923811389957,0.1745599802340994
15,0.4353,0.4438,1.0297229560423453,1.0467242763738431,-0.017001320331497947,0.06661594434445754
13,1.1751,1.194,1.3115936977989875,1.327292905273007,-0.015699207474019473,0.07050452735482964
29,0.0308,0.0312,0.9977092700277008,1.0092906371305153,-0.011581367102814322,0.09964598682340621
21,0.1016,0.1028,1.1541958925472038,1.1651326413608494,-0.010936748813645637,0.17466206345121935
35,0.4075,0.4109,1.1438322203798161,1.1517202467688654,-0.007888026389049174,0.030408584120148355
40,0.0236,0.0239,1.0282979329327018,1.0341982799703622,-0.0059003470376602475,0.1072026821819814
27,0.22590000000000002,0.2271,0.9199655420850498,0.9249074107941697,-0.004941868709119857,0.03068651131791439
14,0.7299,0.7331,1.343240308381369,1.347504490270969,-0.004264181889599783,0.05070737033474681
34,2.0019,2.009,2.019339472612452,2.02280499675926,-0.003465524146808163,0.03560615443872972
24,0.017,0.0171,0.9924270285324907,0.9955135852341798,-0.0030865567016891138,0.04746964003233113
33,2.0545999999999998,2.0577,2.0453954815809987,2.0468162775202132,-0.0014207959392144253,0.01865013598313679
8,0.6433,0.6437,1.3460768347958412,1.3467328854801957,-0.0006560506843543923,0.03051478983487689
0,0.001,0.001,0.09531017980432474,0.09531017980432474,0.0,0.0
4,0.3116,0.3108,1.3185940830483047,1.316059150826034,0.002534932222270547,0.04335742965164296
9,0.7292,0.7267,1.1372622590277839,1.1338377883367978,0.003424470690986059,0.03174060779154921
12,0.7013,0.6935,1.4249603454442636,1.4142075970098027,0.010752748434461034,0.04029550838192281
28,6.0869,5.9828,1.5399012842951287,1.5226206278782604,0.01728065641686829,0.025413900743661573
23,0.1218,0.1193,1.352229246288879,1.3345054050462488,0.017723841242630288,0.11023087601514557
1,0.0328,0.032,1.3560147958940094,1.3381074092949012,0.017907386599108288,0.05470711250919918
20,0.0282,0.0276,-0.6032484051503919,-0.6213914350030642,0.018143029852672226,0.24644844334054866
16,1.4519,1.4235,1.974139325000546,1.9545170636644909,0.019622261336055002,0.03112293805139514
31,0.9347,0.9081,1.9144492739964574,1.8861940018872907,0.028255272109166472,0.09148990577825268
5,0.671,0.6511,2.067835409146274,2.039233700660426,0.02860170848584791,0.06281504298262476
22,0.3125,0.3016,2.3371612088647855,2.303141881827107,0.03401932703767825,0.10916171639822914
41,0.0368,0.0351,1.2778193181122224,1.2413190050755258,0.03650031303669658,0.07737011732282477
18,2.4205,2.3202,1.0434978244232502,1.001376104360445,0.04212172006280518,0.024183877937316745
3,0.0345,0.032,1.0756974099002994,1.0275288844385595,0.0481685254617399,0.1386048643250149
2,0.0477,0.0444,1.7476337514355234,1.6842587662494592,0.0633749851860641,0.1665165303181942
30,0.3287,0.307,1.2817720486813888,1.215474508173345,0.06629754050804401,0.016356590351570287
32,3.5911,3.2748,2.336648003637619,2.2447404938932536,0.09190750974436557,0.016759820824182283
39,0.1607,0.1426,1.6629952248386577,1.5641139719460482,0.09888125289260948,0.3935251187224691
