query,baseline_ln,candidate_ln,delta_ln,baseline_hot_s,candidate_hot_s,ci95_delta_low,ci95_delta_high,detectable_ln,verdict
7,0.8897112330651495,1.0432553958717532,0.15354416280660374,0.024416666666666666,0.032,-0.047404915363593564,0.354493240976801,0.28105567354491723,UNRESOLVED
40,0.938136553046461,1.0249723778957978,0.0868358248493367,0.02075,0.023833333333333335,-0.006589033640799866,0.18026068333947326,0.13066786256438853,UNRESOLVED
10,1.7657938110969176,1.8430146622785513,0.07722085118163353,0.19658333333333333,0.21225,-0.046709587548815615,0.2011512899120827,0.1733342260002928,UNRESOLVED
11,1.5443361208496964,1.6087327348222202,0.06439661397252383,0.16816666666666666,0.18166666666666667,-0.023273653432120553,0.15206688137716823,0.1226192539903361,UNRESOLVED
1,1.324919534434128,1.3646858887607294,0.03976635432660149,0.03141666666666667,0.03325,-0.03244059576002544,0.11197330441322842,0.10099162024536709,UNRESOLVED
21,1.13791414007763,1.1731436394785446,0.03522949940091447,0.09983333333333333,0.10516666666666666,-0.10421156302866602,0.17467056183049495,0.1950280244021391,UNRESOLVED
17,1.6128316784888233,1.6475267919012146,0.03469511341239143,0.04041666666666666,0.042166666666666665,-0.07194716535481216,0.141337392179595,0.1491542920236517,UNRESOLVED
41,1.1737249026213774,1.2049964080866364,0.03127150546525912,0.03216666666666667,0.0335,-0.02849322987362342,0.09103624080414166,0.08358942523078734,UNRESOLVED
42,1.0883261706055607,1.1113986081770562,0.023072437571495425,0.03166666666666667,0.03283333333333333,-0.04470699747006371,0.09085187261305455,0.09479911498755327,UNRESOLVED
25,2.358380304186619,2.372556209070253,0.014175904883634183,0.10166666666666667,0.10016666666666667,-0.25737860127487633,0.2857304110421447,0.37980733889157414,UNRESOLVED
9,1.1407430079408956,1.1513737138811464,0.01063070594025084,0.7318333333333333,0.7398333333333333,-0.015285152664355886,0.036546564544857565,0.03624698934644249,UNRESOLVED
28,1.525061794727585,1.5343597987504851,0.009298004022900042,5.997333333333334,6.054,-0.013709587462863562,0.032305595508663645,0.03217936693494434,UNRESOLVED
24,0.979623255438437,0.9860689235737155,0.00644566813527848,0.016666666666666666,0.016833333333333332,-0.03817146258151948,0.05106279885207644,0.06240336029125937,UNRESOLVED
16,2.0177620378794563,2.024055918638556,0.006293880759099868,1.5170833333333333,1.5268333333333333,-0.004040928706487017,0.016628690224686753,0.014454691018033724,UNRESOLVED
32,2.460364149480202,2.464351707117483,0.003987557637280721,4.0648333333333335,4.081083333333334,-0.0007450898699282458,0.00872020514448969,0.0066192761116460885,UNRESOLVED
8,1.347015725756136,1.3500476218082074,0.003031896052071418,0.6438333333333334,0.6458333333333334,-0.007459112239184296,0.013522904343327131,0.014673157141665779,UNRESOLVED
5,2.034660248805552,2.0364589626837284,0.0017987138781761132,0.648,0.64925,-0.016049022822331352,0.019646450578683576,0.024962581094126243,UNRESOLVED
30,1.2892521065976243,1.2904618552037397,0.0012097486061152425,0.33125000000000004,0.33166666666666667,-0.0063584132946552475,0.008777910506885733,0.010585143559188005,UNRESOLVED
2,1.6967594763322942,1.6977882911790363,0.0010288148467420544,0.04483333333333333,0.04491666666666667,-0.09565835798781304,0.09771598768129715,0.1352306700364846,UNRESOLVED
0,0.09531017980432474,0.09531017980432474,-0.0,0.001,0.001,,,,UNRESOLVED
4,1.2947934384446358,1.2942890822869841,-0.0005043561576515421,0.304,0.30391666666666667,-0.032559627039274425,0.03155091472397134,0.044833824719856114,UNRESOLVED
18,1.2325933092951142,1.232052873838748,-0.0005404354563663208,2.9264166666666664,2.9246666666666665,-0.008807283696205597,0.007726412783472956,0.011562355106569635,UNRESOLVED
33,2.0539123466532025,2.051353798256354,-0.002558548396848437,2.07225,2.0669166666666667,-0.010263875454545345,0.00514677866084847,0.01077698840823079,UNRESOLVED
3,1.12525328011665,1.1222304745888068,-0.003022805527843101,0.03666666666666667,0.036500000000000005,-0.1327547154128164,0.1267091043571302,0.18144840297355158,UNRESOLVED
26,1.0810985255521306,1.0780555015689597,-0.0030430239831710595,0.0195,0.019416666666666665,-0.042417239238134695,0.03633119127179258,0.05507040236041057,UNRESOLVED
12,1.4138980564222685,1.408320672326172,-0.005577384096096316,0.69325,0.6894166666666667,-0.025099634585162706,0.013944866392970073,0.02730462518305244,UNRESOLVED
15,1.0280359371281242,1.0202841829626936,-0.0077517541654306315,0.4345,0.4310833333333333,-0.0136498618938676,-0.001853646436993663,0.008249336873555195,UNRESOLVED
36,1.3024845140891377,1.2939346447672038,-0.008549869321933948,0.064,0.06341666666666666,-0.10745579985806905,0.09035606121420114,0.138333916122154,UNRESOLVED
34,2.019207347223033,2.009849100384432,-0.009358246838601278,2.0015833333333335,1.9826666666666666,-0.026406379726257617,0.007689886049055064,0.023844222203225462,UNRESOLVED
14,1.3634863691011934,1.3499004534720367,-0.01358591562915662,0.7451666666666666,0.73475,-0.04867700507570224,0.021505173817389,0.04907984584766573,UNRESOLVED
35,1.1392973003379612,1.1255778033802986,-0.013719496957662483,0.40558333333333335,0.3999166666666667,-0.02030753818954254,-0.007131455725782426,0.009214306343816543,nominal improvement
29,0.9915114464689978,0.9769050168039409,-0.014606429665056894,0.0305,0.029916666666666668,-0.06375671736251692,0.03454385803240313,0.06874362071985275,UNRESOLVED
13,1.3311473198957757,1.3091089093288841,-0.02203841056689169,1.1980833333333334,1.1716666666666666,-0.04528067337373252,0.0012038522399491353,0.03250758792907685,UNRESOLVED
23,1.315178887931779,1.2896157884593,-0.02556309947247905,0.11841666666666667,0.11525,-0.1785666729499512,0.1274404740049931,0.21399711205476857,UNRESOLVED
37,1.2686388607007486,1.2421824929244372,-0.02645636777631144,0.0435,0.042166666666666665,-0.10718541813134448,0.0542726825787216,0.1129109813728939,UNRESOLVED
19,0.7584083425913094,0.7275127987713786,-0.030895543819930704,0.011416666666666667,0.01075,-0.07027760794668496,0.00848652030682355,0.055081380116406085,UNRESOLVED
20,-0.5882910590470123,-0.6306669526080722,-0.042375893561059835,0.029,0.027,-0.22476107104971432,0.14000928392759465,0.2550914359520833,UNRESOLVED
38,1.371915661544306,1.3277898840999496,-0.0441257774443564,0.04133333333333333,0.03916666666666667,-0.10548878335222754,0.017237228463514748,0.08582483240639853,UNRESOLVED
22,2.333168037996639,2.284416065001989,-0.04875197299465028,0.31074999999999997,0.29533333333333334,-0.14593405394321188,0.04843010795391131,0.13592286894872413,UNRESOLVED
6,1.0490238469163362,0.9975784539342059,-0.051445392982130446,0.019,0.017666666666666667,-0.20311078166142146,0.10021999569716059,0.21212547157149242,UNRESOLVED
31,2.0098716917465116,1.9291870229174655,-0.08068466882904611,1.1056666666666666,0.949,-0.30239292376736204,0.14102358610926985,0.3100903148676306,UNRESOLVED
39,1.8974326406351594,1.6367063439695637,-0.26072629666559566,0.21233333333333335,0.15916666666666668,-0.5765723707927763,0.055119777461585084,0.4417553536878983,UNRESOLVED
27,0.9536216150029522,0.6823253320974342,-0.2712962829055179,0.23408333333333334,0.1765,-0.323434494103169,-0.21915807170786678,0.07292265383358333,nominal improvement
