query,baseline_hot_s,candidate_hot_s,baseline_ln,candidate_ln,benefit_ln,paired_delta_sd
7,0.024416666666666666,0.032,0.8897112330651495,1.0432553958717532,-0.15354416280660374,0.3162711129868957
40,0.02075,0.023833333333333335,0.938136553046461,1.0249723778957978,-0.0868358248493367,0.14704015686149544
10,0.19658333333333333,0.21225,1.7657938110969176,1.8430146622785513,-0.07722085118163353,0.19505248865603667
11,0.16816666666666666,0.18166666666666667,1.5443361208496964,1.6087327348222202,-0.06439661397252383,0.13798308158667585
1,0.03141666666666667,0.03325,1.324919534434128,1.3646858887607294,-0.03976635432660149,0.11364556969972539
21,0.09983333333333333,0.10516666666666666,1.13791414007763,1.1731436394785446,-0.03522949940091447,0.2194644554344577
17,0.04041666666666666,0.042166666666666665,1.6128316784888233,1.6475267919012146,-0.03469511341239143,0.16784288091431732
41,0.03216666666666667,0.0335,1.1737249026213774,1.2049964080866364,-0.03127150546525912,0.0940629314407025
42,0.03166666666666667,0.03283333333333333,1.0883261706055607,1.1113986081770562,-0.023072437571495425,0.10667716196269751
25,0.10166666666666667,0.10016666666666667,2.358380304186619,2.372556209070253,-0.014175904883634183,0.42739606810545944
9,0.7318333333333333,0.7398333333333333,1.1407430079408956,1.1513737138811464,-0.01063070594025084,0.040788629236447015
28,5.997333333333334,6.054,1.525061794727585,1.5343597987504851,-0.009298004022900042,0.03621134584248854
24,0.016666666666666666,0.016833333333333332,0.979623255438437,0.9860689235737155,-0.00644566813527848,0.07022231561635656
16,1.5170833333333333,1.5268333333333333,2.0177620378794563,2.024055918638556,-0.006293880759099868,0.016265820783812054
32,4.0648333333333335,4.081083333333334,2.460364149480202,2.464351707117483,-0.003987557637280721,0.0074486517087274055
8,0.6438333333333334,0.6458333333333334,1.347015725756136,1.3500476218082074,-0.003031896052071418,0.016511660062555524
5,0.648,0.64925,2.034660248805552,2.0364589626837284,-0.0017987138781761132,0.02809031821377983
30,0.33125000000000004,0.33166666666666667,1.2892521065976243,1.2904618552037397,-0.0012097486061152425,0.0119114305445801
2,0.04483333333333333,0.04491666666666667,1.6967594763322942,1.6977882911790363,-0.0010288148467420544,0.15217467053041847
0,0.001,0.001,0.09531017980432474,0.09531017980432474,0.0,0.0
4,0.304,0.30391666666666667,1.2947934384446358,1.2942890822869841,0.0005043561576515421,0.050451369526764434
18,2.9264166666666664,2.9246666666666665,1.2325933092951142,1.232052873838748,0.0005404354563663208,0.013011083790557508
33,2.07225,2.0669166666666667,2.0539123466532025,2.051353798256354,0.002558548396848437,0.012127312982256165
3,0.03666666666666667,0.036500000000000005,1.12525328011665,1.1222304745888068,0.003022805527843101,0.20418334785534425
26,0.0195,0.019416666666666665,1.0810985255521306,1.0780555015689597,0.0030430239831710595,0.061970559880477456
12,0.69325,0.6894166666666667,1.4138980564222685,1.408320672326172,0.005577384096096316,0.030725813456862656
15,0.4345,0.4310833333333333,1.0280359371281242,1.0202841829626936,0.0077517541654306315,0.009282954232860114
36,0.064,0.06341666666666666,1.3024845140891377,1.2939346447672038,0.008549869321933948,0.15566674411501394
34,2.0015833333333335,1.9826666666666666,2.019207347223033,2.009849100384432,0.009358246838601278,0.026831832282210647
14,0.7451666666666666,0.73475,1.3634863691011934,1.3499004534720367,0.01358591562915662,0.05522940446525361
35,0.40558333333333335,0.3999166666666667,1.1392973003379612,1.1255778033802986,0.013719496957662483,0.010368831505887863
29,0.0305,0.029916666666666668,0.9915114464689978,0.9769050168039409,0.014606429665056894,0.0773569918073267
13,1.1980833333333334,1.1716666666666666,1.3311473198957757,1.3091089093288841,0.02203841056689169,0.03658069195036338
23,0.11841666666666667,0.11525,1.315178887931779,1.2896157884593,0.02556309947247905,0.24081031331582978
37,0.0435,0.042166666666666665,1.2686388607007486,1.2421824929244372,0.02645636777631144,0.12705839130317606
19,0.011416666666666667,0.01075,0.7584083425913094,0.7275127987713786,0.030895543819930704,0.06198291311662818
20,0.029,0.027,-0.5882910590470123,-0.6306669526080722,0.042375893561059835,0.2870536336961621
38,0.04133333333333333,0.03916666666666667,1.371915661544306,1.3277898840999496,0.0441257774443564,0.09657842848259535
22,0.31074999999999997,0.29533333333333334,2.333168037996639,2.284416065001989,0.04875197299465028,0.15295359990630003
6,0.019,0.017666666666666667,1.0490238469163362,0.9975784539342059,0.051445392982130446,0.23870416185021107
31,1.1056666666666666,0.949,2.0098716917465116,1.9291870229174655,0.08068466882904611,0.3489437084569968
39,0.21233333333333335,0.15916666666666668,1.8974326406351594,1.6367063439695637,0.26072629666559566,0.4971059847915247
27,0.23408333333333334,0.1765,0.9536216150029522,0.6823253320974342,0.2712962829055179,0.08205964533293658
